AS132658;IDNIC-DISKOMINFOPROVSU-AS-ID Dinas Komunikasi dan Informatika Provinsi Sumatera Utara;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 58]
AS132660;IDNIC-UNG-AS-ID Universitas Negeri Gorontalo;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 419]
AS132663;INDOMEDIANET-AS-ID PT Indonesia Media Komunikasi Masyarakat;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 91]
AS132664;IDNIC-PTMCM-AS-ID PT. Merah Cipta Media;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 116]
AS132667;IDNIC-UNJA-AS-ID Universitas Jambi;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 126]
AS132668;BALITOWERNET-AS-ID PT Bali Towerindo Sentra;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 188]
AS132673;IDNIC-ARANANETWORK-AS-ID PT Arana Teknologi Indonesia;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 106]
AS132675;TAB-AS-ID PT. Terang Abadi Bersama;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 132]
AS132676;IDNIC-UNSRI-AS-ID Universitas Sriwijaya;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1032]
AS132678;IDNIC-UNEJ-AS-ID Universitas Jember;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 318]
AS133166;PERTAMINA-AS-ID PT Pertamina (Persero);v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 2208]
AS133329;MABESAD-AS MABESAD;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 172]
AS133335;IDNIC-PNP-AS-ID Politeknik Negeri Padang;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 116]
AS133343;IDNIC-BAPPENAS-AS-ID BADAN PERENCANAAN DAN PEMBANGUNAN NASIONAL;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 319]
AS133352;BPMNET-AS-ID PT. Berdikari Prima Mandiri;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 247]
AS133354;IDNIC-AKPA-AS-ID PT Anugrah Karunia Perkasa Abadi;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 339]
AS133355;;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 79]
AS133356;IDNIC-KINEZNETWORK-AS-ID PT. Kinez Network Solutions;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 252]
AS133357;IDNIC-TELU-AS-ID TELKOM UNIVERSITY;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1350]
AS133360;IDNIC-AWINET-AS-ID PT Awinet Global Mandiri;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 686]
AS133361;IDNIC-UNPAR-AS-ID Biro Teknologi Informasi;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 434]
AS133364;IDNIC-PNJ-AS-ID Politeknik Negeri Jakarta;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 213]
AS133796;KEMENDAG-AS-ID Subbid Sistem Jaringan dan Infrastruktur;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 541]
AS133797;ACSATA-AS-ID PT Rekajasa Akses;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1268]
AS133800;IDNIC-BIZNETCLOUDBLOCK-AS-ID PT Biznet Data Center;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 284]
AS133805;IDNIC-POLMAN-AS-ID Politeknik Manufaktur Negeri Bandung;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 70]
AS133807;IDNIC-BPN-AS-ID Badan Pertanahan Nasional;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 78]
AS133808;JETCOMS-AS-ID PT Jetcoms Netindo;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 2130]
AS133814;SUMATERANET-AS-ID PT Sumatera Global Mediatek;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 827]
AS133816;IDNIC-KLH-AS-ID Kementrian Lingkungan Hidup;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 78]
AS133817;INTIDATA-AS-ID PT Inti Data Telematika;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 180]
AS133819;CIM-AS-ID PT CITRA INFOMEDIA;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 154]
AS133825;IDNIC-UNPATTI-AS-ID Universitas Pattimura;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 92]
AS133827;IDNIC-UII-AS-ID UNIVERSITAS ISLAM INDONESIA;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 378]
AS133828;DUTAMEDIALINK-AS-ID PT Duta Medialink;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 202]
AS133831;IDNIC-MAROSKAB-AS-ID Pemerintah Kabupaten Maros;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 188]
AS133832;IDNIC-MERCUBUANAYOGYA-AS-ID Universitas Mercu Buana Yogyakarta;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 72]
AS133838;INFOTEK-AS-ID PT Infotek Global Network;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 923]
AS133839;IDNIC-TNGK-AS-ID Dinas Komunikasi dan Informatika Tangerang Kota;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 54]
AS133841;IDOLA-BROADBAND-AS-ID INDONESIA BROADBAND ACCESS - ANYWHERE;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 126]
AS133842;IDNIC-BNILIFE-AS-ID PT BNI Life Insurance;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 52]
AS133843;IDNIC-BRI-AS-ID PT Bank Rakyat Indonesia;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 178]
AS133844;IDNIC-UINSUSKA-AS-ID Universitas Islam Negeri Suska Riau;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 135]
AS134451;NME-INDONESIA-AS-AP NewMedia Express Pte Ltd;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 328]
AS134626;IDNIC-ARISTI-AS-ID PT. Aristi Jasadata;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 57]
AS134627;IDNIC-UKSW-AS-ID Universitas Kristen Satya Wacana;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 192]
AS134635;IDNIC-BANYUWANGIKAB-AS-ID Dinas Perhubungan Komunikasi dan Informatika Kabupaten Banyuwangi;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 206]
